;;1970-79;1980-89;1990-99;2000;2001;2002;2003;2004
Food energy;Kilocalories;3200;3400;3600;3900;4000;3900;3900;3900
Carbohydrate;Grams;396;420;481;497;508;484;482;481
Fiber;Grams;20;21;24;25;27;24;25;25
Protein;Grams;98;101;109;113;115;112;112;113
Total fat;Grams;144;151;151;173;174;180;178;179
Saturated fat;Grams;49;50;48;54;54;57;56;56
Monounsaturated fat;Grams;58;61;64;77;77;79;78;79
Polyunsaturated fat;Grams;27;31;31;36;36;37;37;37
Cholesterol;Milligrams;440;420;400;420;420;420;420;430
;;;;;;;;;
Vitamin A;Micrograms RAE;1260;1230;1270;1250;1080;1070;1080;1080
Carotene;Micrograms ;580;620;750;720;680;650;690;680
Vitamin E;Milligrams a-TE;13.9;15.6;16.8;20;20.4;21;20.9;21
Vitamin C;Milligrams;112;119;127;130;119;114;118;119
Thiamin;Milligrams;2.3;2.6;3;3;3.1;2.9;2.9;2.9
Riboflavin;Milligrams;2.5;2.8;2.9;2.9;2.9;2.8;2.8;2.9
Niacin;Milligrams;25;29;32;33;34;32;33;33
Vitamin B 6;Milligrams;2;2.2;2.4;2.5;2.5;2.4;2.4;2.4
Total Folate ;Micrograms;326;356;449;706;703;679;687;687
Folate;Micrograms DFE \5;343;386;517;925;918;889;899;898
Vitamin B 12;Micrograms;8.9;8.1;7.9;8.2;8.2;8.2;8.2;8.2
;;;;;;;;;
Calcium;Milligrams;940;940;980;980;970;950;950;970
Phosphorus;Milligrams;1530;1580;1690;1720;1770;1680;1690;1710
Magnesium;Milligrams;340;360;390;400;430;390;400;400
Iron;Milligrams;16.7;19.9;23.1;23.7;24.3;23.1;23.3;23.4
Zinc;Milligrams;13.4;14.3;15.3;15.4;15.9;15.2;15.3;15.4
Copper;Milligrams;1.7;1.8;2;2.1;2.1;2;2;2.1
Potassium;Milligrams;3610;3640;3850;3920;3900;3750;3810;3820
Sodium;Milligrams;1270;1260;1290;1280;1240;1250;1240;1240
Selenium;Micrograms;129.5;139.1;162.6;178.9;197;182.5;186;189.7
